title,author,description,publisher,year,image_url,category
Worlds in Harmony,H.H. the Dalai Lama with conference participants,The age-old insights of Buddhism meet modern western psychological theory.,Parallax Press,1992,https://www.dalailama.com/assets/books/_bookCover/Worlds-in-Harmony-new.jpg,Ethics
Gentle Bridges - Conversations with the Dalai Lama on the Sciences of the Mind,"H.H. the Dalai Lama, Jeremy Hayward and Francisco Verela",A chronicle of the groundbreaking meeting between prominent Western scientists and the Dalai Lama.,Shambhala Publications,1992,https://www.dalailama.com/assets/books/_bookCover/Gentle-Bridges-Conversations-with-the-Dalai-Lama-on-the-Sciences-of-the-Mind-new.jpg,Science
Cultivating a Daily Meditation,H.H. the Dalai Lama,Two discourses covering the essential points of Buddhism and providing a clear and simple method to cultivate a daily practice of meditation.,"Library of Tibetan Works & Archives, Dharamsala",1991,https://www.dalailama.com/assets/books/_bookCover/Cultivating-a-Daily-Meditation-new.jpg,Meditation
Mind Science - An East - West Dialogue,"H.H. the Dalai Lama with Herbert Benson, Robert A. Thurman, Howard E. Gardner, Daniel Goleman","A record of the historic dialogue between modern science and Buddhism in which the Dalai Lama and other Indo-Tibetan scholars met with leading authorities from the fields of medicine, psychiatry, psychology, biology, neurobiology and education.","Wisdom Publications, Boston",1991,https://www.dalailama.com/assets/books/_bookCover/Mind-Science-An-East-West-Dialogue-new.jpg,Science
Path to Bliss,H.H. the Dalai Lama,"Beginning with practices that develop an effective mental outlook in one's life, this book guides the student to more advanced techniques for developing the mind's deepest potential and happiness.","Snow Lion Publications, Ithaca",1991,https://www.dalailama.com/assets/books/_bookCover/Path-to-Bliss-new.jpg,Meditation
Freedom in Exile,H.H. the Dalai Lama,"Following his award of the Nobel Peace Prize, this is the autobiography in which the Dalai Lama talks freely of his life and the tragic story of Tibet, and also discusses contemporary issues.","Harper Collins, New York",1991,https://www.dalailama.com/assets/books/_bookCover/Freedom-in-Exile-new.jpg,Autobiography
The Global Community & the Need for Universal Responsibility,H.H. the Dalai Lama, ,"Wisdom Publications, Boston",1990,https://www.dalailama.com/assets/books/_bookCover/The-Global-Community-the-Need-for-Universal-Responsibility-new.jpg,Ethics
My Tibet,H.H. the Dalai Lama & Galen Rowell,Personal reflections to match incredibly beautiful photographs of the land the Dalai Lama was forced to flee in 1959.,University of California Press,1990,https://www.dalailama.com/assets/books/_bookCover/My-Tibet-new1.jpg,Autobiography
The Nobel Peace Prize and the Dalai Lama,"H.H. the Dalai Lama, compiled & edited by Sidney Piburn", ,"Snow Lion Publications, Ithaca",1990,https://www.dalailama.com/assets/books/_bookCover/The-Nobel-Peace-Prize-and-the-Dalai-Lama-new.jpg,Autobiography
Policy of Kindness,"H.H. the Dalai Lama, compiled & edited by Sidney Piburn",The engaging and popular book offering a comprehensive view of the Dalai Lama.,"Snow Lion Publications, Ithaca",1990,https://www.dalailama.com/assets/books/_bookCover/Policy-of-Kindness-new1.jpg,Ethics
Ocean Of Wisdom,H.H. the Dalai Lama,"Sayings, thoughts and inspirations that guide towards creating a positive attitude towards one's self and others.","Clear Light Publications, New Mexico",1989,https://www.dalailama.com/assets/books/_bookCover/Ocean-Of-Wisdom-new.jpg,Ethics
The Bodhgaya Interviews,"H.H. the Dalai Lama, edited by Jose Ignacio Cabezon","Interviews with The Dalai Lama in Bodhgaya on various topics such as politics, Christianity, particle physics, tantra, emptiness and liberation.","Snow Lion Publications, Ithaca",1988,https://www.dalailama.com/assets/books/_bookCover/The-Bodhgaya-Interviews-new1.jpg,Buddhism
The Dalai Lama at Harvard,"H.H. the Dalai Lama, translated and edited by Jeffery Hopkins","A series of lectures given by the Dalai Lama at Harvard University, not just providing an introduction to Buddhist theory but covering a wide spectrum of important issues.","Snow Lion Publications, Ithaca",1988,https://www.dalailama.com/assets/books/_bookCover/The-Dalai-Lama-at-Harvard-new.jpg,Buddhism
Transcendent Wisdom,"H.H. the Dalai Lama, translated, edited & annotated by B. Alan Wallace","This extraordinary clear exposition is based on an oral teaching given by the Dalai Lama in India in 1979 on Shantideva's Guide to the Bodhisattva's Way of Life's ninth chapter, the section on transcendent wisdom.","Snow Lion Publications, Ithaca",1988,https://www.dalailama.com/assets/books/_bookCover/Transcendent-Wisdom-new.jpg,Buddhism
The Union of Bliss & Emptiness,"H.H. the Dalai Lama, translated by Dr. Thupten Jinpa",An illuminating and profound commentary by the Dalai Lama on the Gelugpa Lama Chopa guru yoga.,"Snow Lion Publications, Ithaca",1988,https://www.dalailama.com/assets/books/_bookCover/The-Union-of-Bliss-Emptiness-new.jpg,Buddhism
Tantra in Tibet,"H.H. the Dalai Lama, Tshongkhapa and Jeffrey Hopkins","Consists of three parts: The Dalai Lama's 'Essence of Tantra', Tsong Khapa's 'Great Exposition of Secret Mantra', and a supplement by Jeffrey Hopkins.","Snow Lion Publications, Ithaca",1987,https://www.dalailama.com/assets/books/_bookCover/Tantra-in-Tibet-new.jpg,Buddhism
Kalachakra Tantra - Rite of Initiation,H.H. the Dalai Lama and Jeffrey Hopkins,"In his definitive introduction to Buddhism's most esoteric and popular tantra, the Dalai Lama explains the process of initiation into what is also Buddhism's most complex system of practice, often given over three days and to very large assemblies of devotees.","Wisdom Publication, Boston",1985,https://www.dalailama.com/assets/books/_bookCover/Kalachakra-Tantra-Rite-of-Initiation-new1.jpg,Buddhism
